review_id,label,text,score
21,PER,Lucía Brisaverde,0.9988259077072144
21,LOC,Tien,0.961993932723999
21,LOC,das Nube Clara,0.9169274568557739
21,LOC,Villa Luminaria,0.9992905259132385
22,PER,Mateo Soldebrisa,0.9990960359573364
22,ORG,Mensaje,0.8342053294181824
22,ORG,ría Faro Violeta,0.9157439470291138
22,LOC,Puerto Lunaclara,0.999406099319458
23,LOC,Hotel Jardín de Cobre,0.9941340684890747
23,LOC,Valle Nacarino,0.9990332126617432
23,PER,Elena Marazul,0.999543309211731
24,PER,Tomás Cielomanso,0.9979564547538757
24,LOC,Ca,0.8448517918586731
24,LOC,fete,0.8219170570373535
24,LOC,ría Cometa Azul,0.9606414437294006
24,LOC,Ciudad Alboral,0.999386191368103
25,PER,Sara Ventoluna,0.999279260635376
25,ORG,Libre,0.9996910095214844
25,ORG,ría Bosque de Papel,0.9995409846305847
25,LOC,San Olmo de Bruma,0.9992880821228027
